application_id,race,work_exp,work_industry
963,Hispanic,7.0,PE/VC
964,,5.0,PE/VC
965,Asian,3.0,Financial Services
966,White,6.0,PE/VC
967,Hispanic,5.0,Nonprofit/Gov
968,Asian,6.0,PE/VC
969,Asian,6.0,Technology
970,Asian,5.0,Health Care
971,White,7.0,Consulting
972,,6.0,Consulting
973,,3.0,PE/VC
974,Asian,4.0,Other
975,,5.0,Financial Services
976,Black,6.0,Investment Management
977,,5.0,PE/VC
978,Asian,6.0,Consulting
979,White,6.0,Consulting
980,Asian,4.0,PE/VC
981,White,5.0,Health Care
982,Black,4.0,Health Care
983,Hispanic,5.0,Financial Services
984,Black,5.0,Technology
985,White,5.0,Nonprofit/Gov
986,Asian,4.0,Other
987,Hispanic,5.0,Nonprofit/Gov
988,Black,7.0,Real Estate
989,,4.0,Nonprofit/Gov
990,Other,6.0,PE/VC
991,White,5.0,Nonprofit/Gov
992,White,4.0,Consulting
993,Black,3.0,PE/VC
994,,4.0,Consulting
995,White,5.0,PE/VC
996,Black,5.0,Financial Services
997,,5.0,PE/VC
998,White,5.0,Technology
999,Hispanic,5.0,Investment Banking
1000,Other,6.0,Consulting
1001,Black,5.0,PE/VC
1002,Asian,5.0,Nonprofit/Gov
1003,Black,3.0,Nonprofit/Gov
1004,,5.0,PE/VC
1005,Asian,3.0,Real Estate
1006,White,4.0,Consulting
1007,Asian,5.0,Consulting
1008,Asian,6.0,Consulting
1009,Asian,6.0,PE/VC
1010,White,5.0,Consulting
1011,White,5.0,Consulting
1012,,6.0,Investment Banking
1013,Hispanic,4.0,Health Care
1014,White,5.0,PE/VC
1015,,4.0,Financial Services
1016,Other,4.0,PE/VC
1017,Asian,7.0,CPG
1018,,5.0,Consulting
1019,,4.0,Nonprofit/Gov
1020,White,5.0,PE/VC
1021,,3.0,Consulting
1022,Other,4.0,Consulting
1023,Asian,6.0,Nonprofit/Gov
1024,White,6.0,Technology
1025,White,4.0,Consulting
1026,White,5.0,Consulting
1027,Hispanic,5.0,Nonprofit/Gov
1028,Hispanic,5.0,Real Estate
1029,White,6.0,Investment Banking
1030,Asian,5.0,Technology
1031,White,3.0,Consulting
1032,Black,4.0,Consulting
1033,Black,5.0,Technology
1034,,5.0,Investment Management
1035,Other,7.0,Other
1036,,4.0,Real Estate
1037,,4.0,Nonprofit/Gov
1038,Black,6.0,Health Care
1039,Asian,5.0,Technology
1040,White,7.0,Investment Banking
1041,White,5.0,Real Estate
1042,Asian,5.0,Investment Banking
1043,Hispanic,4.0,Technology
1044,,5.0,PE/VC
1045,,5.0,PE/VC
1046,White,6.0,Nonprofit/Gov
1047,,4.0,Financial Services
1048,,5.0,Consulting
1049,Black,4.0,Technology
1050,White,6.0,Investment Banking
1051,,5.0,Other
1052,,4.0,Consulting
1053,Hispanic,5.0,Health Care
1054,Black,5.0,PE/VC
1055,White,5.0,Technology
1056,Hispanic,5.0,Investment Management
1057,,5.0,Nonprofit/Gov
1058,Asian,3.0,Other
1059,Black,4.0,Health Care
1060,Black,5.0,PE/VC
1061,Asian,5.0,Consulting
1062,White,4.0,Other
1063,,7.0,Investment Management
1064,White,4.0,Consulting
1065,,6.0,Investment Banking
1066,White,4.0,Other
1067,Other,7.0,PE/VC
1068,Asian,4.0,Consulting
1069,Other,5.0,PE/VC
1070,White,5.0,Health Care
1071,Hispanic,6.0,Investment Banking
1072,White,4.0,Technology
1073,,5.0,PE/VC
1074,White,6.0,Financial Services
1075,Black,6.0,PE/VC
1076,,5.0,Health Care
1077,Asian,5.0,Consulting
1078,,3.0,PE/VC
1079,,6.0,Other
1080,Hispanic,5.0,Nonprofit/Gov
1081,White,5.0,Consulting
1082,,8.0,Investment Banking
1083,,3.0,Technology
1084,Asian,5.0,PE/VC
1085,White,5.0,Other
1086,,5.0,Consulting
1087,Asian,5.0,PE/VC
1088,Asian,6.0,Health Care
1089,White,6.0,PE/VC
1090,,5.0,Nonprofit/Gov
1091,,6.0,Financial Services
1092,White,5.0,PE/VC
1093,Asian,6.0,Consulting
1094,White,5.0,Technology
1095,White,6.0,Consulting
1096,Other,3.0,PE/VC
1097,,5.0,Financial Services
1098,,5.0,Investment Banking
1099,Hispanic,4.0,Nonprofit/Gov
1100,Hispanic,8.0,Consulting
1101,Asian,5.0,Nonprofit/Gov
1102,White,5.0,Consulting
1103,,6.0,Health Care
1104,,5.0,Real Estate
1105,White,5.0,Consulting
1106,Asian,6.0,PE/VC
1107,Hispanic,5.0,Health Care
1108,,4.0,Consulting
1109,Asian,5.0,Investment Banking
1110,Other,5.0,PE/VC
1111,Black,6.0,Technology
1112,Other,5.0,PE/VC
1113,Asian,4.0,PE/VC
1114,,7.0,Real Estate
1115,Hispanic,6.0,Consulting
1116,,5.0,Consulting
1117,Black,4.0,Other
1118,White,4.0,PE/VC
1119,,4.0,Other
1120,,5.0,Investment Banking
1121,White,5.0,Nonprofit/Gov
1122,,6.0,Technology
1123,,6.0,Health Care
1124,,5.0,Nonprofit/Gov
1125,White,5.0,Financial Services
1126,Black,6.0,PE/VC
1127,Asian,5.0,Other
1128,,5.0,PE/VC
1129,,7.0,Investment Banking
1130,Black,5.0,Health Care
1131,White,5.0,PE/VC
1132,,5.0,Media/Entertainment
1133,Hispanic,4.0,Technology
1134,White,4.0,Investment Banking
1135,,3.0,Nonprofit/Gov
1136,Black,5.0,PE/VC
1137,Black,4.0,Financial Services
1138,Asian,6.0,PE/VC
1139,Hispanic,5.0,Consulting
1140,Hispanic,7.0,Consulting
1141,Asian,7.0,PE/VC
1142,,5.0,PE/VC
1143,Asian,4.0,Other
1144,Hispanic,4.0,CPG
1145,Hispanic,5.0,Consulting
1146,Hispanic,4.0,Investment Banking
1147,Asian,4.0,Investment Banking
1148,White,6.0,Investment Banking
1149,,4.0,Nonprofit/Gov
1150,Asian,5.0,Financial Services
1151,,6.0,Consulting
1152,Black,6.0,Investment Banking
1153,White,5.0,Investment Banking
1154,,6.0,PE/VC
1155,Black,6.0,Nonprofit/Gov
1156,White,4.0,Nonprofit/Gov
1157,,6.0,Nonprofit/Gov
1158,Asian,5.0,Health Care
1159,White,5.0,Consulting
1160,,2.0,Consulting
1161,Asian,5.0,Consulting
1162,,4.0,Nonprofit/Gov
1163,,3.0,Technology
1164,White,4.0,Investment Banking
1165,White,5.0,PE/VC
1166,Black,3.0,Financial Services
1167,,4.0,Technology
1168,Black,5.0,Nonprofit/Gov
1169,Black,5.0,Consulting
1170,White,3.0,Technology
1171,Black,5.0,Investment Banking
1172,Asian,5.0,CPG
1173,White,5.0,Health Care
1174,,4.0,Real Estate
1175,,6.0,Consulting
1176,White,5.0,Consulting
1177,Asian,5.0,Technology
1178,Asian,6.0,Retail
1179,White,6.0,Technology
1180,,5.0,Consulting
1181,White,5.0,Investment Banking
1182,White,4.0,Financial Services
1183,,3.0,PE/VC
1184,Black,4.0,Media/Entertainment
1185,Hispanic,5.0,Media/Entertainment
1186,Asian,4.0,Technology
1187,White,4.0,Nonprofit/Gov
1188,,6.0,PE/VC
1189,Other,6.0,Consulting
1190,,3.0,Health Care
1191,,7.0,Consulting
1192,,3.0,Nonprofit/Gov
1193,White,6.0,Investment Banking
1194,Black,4.0,Nonprofit/Gov
1195,,4.0,Nonprofit/Gov
1196,Black,6.0,Investment Banking
1197,Black,5.0,Other
1198,,5.0,Financial Services
1199,Black,5.0,Energy
1200,Asian,6.0,Nonprofit/Gov
1201,Black,5.0,Consulting
1202,Hispanic,7.0,Consulting
1203,White,5.0,Consulting
1204,Black,6.0,Consulting
1205,,3.0,PE/VC
1206,,5.0,Other
1207,White,6.0,Technology
1208,Black,5.0,PE/VC
1209,,6.0,Consulting
1210,,3.0,Technology
1211,White,9.0,Consulting
1212,,6.0,Health Care
1213,Black,4.0,Investment Management
1214,Black,5.0,Nonprofit/Gov
1215,Asian,5.0,Technology
1216,White,6.0,Investment Banking
1217,White,5.0,Technology
1218,,5.0,Health Care
1219,White,4.0,Technology
1220,White,3.0,Financial Services
1221,White,5.0,Nonprofit/Gov
1222,White,7.0,Financial Services
1223,Other,5.0,PE/VC
1224,,5.0,Technology
1225,,6.0,PE/VC
1226,White,4.0,Investment Banking
1227,Hispanic,4.0,Consulting
1228,Asian,6.0,PE/VC
1229,White,5.0,Consulting
1230,Asian,7.0,Investment Banking
1231,Black,5.0,Nonprofit/Gov
1232,White,6.0,Financial Services
1233,Black,4.0,Health Care
1234,,5.0,Technology
1235,Black,4.0,Consulting
1236,,7.0,PE/VC
1237,,6.0,Investment Banking
1238,,4.0,Other
1239,Other,5.0,Financial Services
1240,Black,5.0,Consulting
1241,Hispanic,5.0,Nonprofit/Gov
1242,White,5.0,Consulting
1243,,5.0,PE/VC
1244,Hispanic,4.0,Nonprofit/Gov
1245,White,4.0,CPG
1246,Black,5.0,Investment Banking
1247,,4.0,Technology
1248,White,6.0,Other
1249,,5.0,Health Care
1250,,4.0,Consulting
1251,Other,4.0,Consulting
1252,,5.0,Consulting
1253,White,3.0,Consulting
1254,White,5.0,Nonprofit/Gov
1255,,5.0,Consulting
1256,White,6.0,PE/VC
1257,,4.0,Health Care
1258,Asian,6.0,Consulting
1259,Black,5.0,Investment Banking
1260,,7.0,Consulting
1261,Black,7.0,Consulting
1262,Asian,5.0,Financial Services
1263,Asian,5.0,Financial Services
1264,White,5.0,Financial Services
1265,,7.0,Media/Entertainment
1266,Asian,5.0,PE/VC
1267,Black,6.0,Media/Entertainment
1268,White,5.0,Investment Management
1269,Asian,6.0,PE/VC
1270,White,4.0,PE/VC
1271,White,5.0,CPG
1272,,6.0,Consulting
1273,White,4.0,CPG
1274,,4.0,Technology
1275,White,4.0,Consulting
1276,,6.0,Consulting
1277,,5.0,PE/VC
1278,Asian,6.0,Other
1279,White,5.0,Nonprofit/Gov
1280,Black,5.0,Consulting
1281,Hispanic,4.0,Investment Banking
1282,Asian,3.0,Consulting
1283,,5.0,Investment Banking
1284,,5.0,Health Care
1285,Black,5.0,Other
1286,Asian,5.0,Consulting
1287,,4.0,Consulting
1288,White,6.0,Financial Services
1289,Other,6.0,Consulting
1290,Hispanic,5.0,Consulting
1291,Black,5.0,Technology
1292,White,5.0,Investment Banking
1293,Asian,5.0,Consulting
1294,,7.0,Consulting
1295,,5.0,Investment Management
1296,Hispanic,4.0,PE/VC
1297,White,4.0,Consulting
1298,White,7.0,Other
1299,Black,6.0,Health Care
1300,Asian,3.0,Investment Management
1301,Black,4.0,Nonprofit/Gov
1302,Hispanic,5.0,Financial Services
1303,Asian,5.0,Technology
1304,Other,4.0,Consulting
1305,Other,6.0,Financial Services
1306,Hispanic,4.0,Nonprofit/Gov
1307,Black,5.0,Technology
1308,,5.0,CPG
1309,,5.0,Other
1310,Black,5.0,Technology
1311,,5.0,Consulting
1312,,4.0,Other
1313,,6.0,PE/VC
1314,Black,5.0,Consulting
1315,Hispanic,5.0,PE/VC
1316,Other,4.0,Consulting
1317,Hispanic,4.0,Nonprofit/Gov
1318,Hispanic,5.0,Other
1319,White,6.0,Investment Banking
1320,Black,4.0,PE/VC
1321,White,4.0,Nonprofit/Gov
1322,Black,5.0,Consulting
1323,White,5.0,Investment Banking
1324,Black,5.0,Technology
1325,White,5.0,Media/Entertainment
1326,,5.0,Technology
1327,Hispanic,6.0,Consulting
1328,,6.0,PE/VC
1329,Black,4.0,Consulting
1330,Asian,4.0,Technology
1331,,5.0,Consulting
1332,White,7.0,Nonprofit/Gov
1333,White,5.0,Investment Banking
1334,,4.0,PE/VC
1335,Asian,5.0,Nonprofit/Gov
1336,Hispanic,6.0,Consulting
1337,Asian,5.0,Financial Services
1338,Asian,4.0,Technology
1339,Asian,4.0,Consulting
1340,Asian,6.0,Investment Banking
1341,Asian,6.0,Technology
1342,,6.0,Technology
1343,Hispanic,5.0,Investment Banking
1344,Asian,4.0,PE/VC
1345,Asian,5.0,Consulting
1346,,7.0,Investment Banking
1347,,4.0,PE/VC
1348,,6.0,Nonprofit/Gov
1349,,1.0,PE/VC
1350,,5.0,Technology
1351,White,5.0,Investment Banking
1352,White,5.0,Real Estate
1353,Other,4.0,Nonprofit/Gov
1354,Asian,6.0,Consulting
1355,,6.0,Financial Services
1356,,5.0,Investment Banking
1357,,6.0,Nonprofit/Gov
1358,,5.0,PE/VC
1359,White,7.0,Investment Banking
1360,Black,5.0,Consulting
1361,White,5.0,Nonprofit/Gov
1362,Other,4.0,Health Care
1363,White,5.0,Consulting
1364,Asian,7.0,Nonprofit/Gov
1365,,6.0,Consulting
1366,,4.0,Investment Banking
1367,White,4.0,Investment Banking
1368,Asian,5.0,Consulting
1369,White,6.0,Consulting
1370,Hispanic,6.0,CPG
1371,,4.0,PE/VC
1372,,3.0,PE/VC
1373,Black,5.0,Other
1374,,5.0,Investment Banking
1375,Asian,6.0,Consulting
1376,,5.0,Investment Banking
1377,Black,5.0,Technology
1378,,6.0,Investment Banking
1379,Asian,5.0,Nonprofit/Gov
1380,Hispanic,4.0,Consulting
1381,White,5.0,Nonprofit/Gov
1382,Other,5.0,Consulting
1383,Other,3.0,Investment Banking
1384,Asian,4.0,Nonprofit/Gov
1385,Black,6.0,Health Care
1386,Black,5.0,Investment Management
1387,,5.0,Consulting
1388,Asian,5.0,Financial Services
1389,Asian,5.0,Technology
1390,Hispanic,4.0,Nonprofit/Gov
1391,,6.0,Consulting
1392,,6.0,Consulting
1393,,6.0,Nonprofit/Gov
1394,White,5.0,Investment Banking
1395,,5.0,Financial Services
1396,,5.0,Consulting
1397,,6.0,Technology
1398,,6.0,Investment Management
1399,,4.0,Investment Banking
1400,,4.0,Consulting
1401,Black,6.0,PE/VC
1402,Black,4.0,Consulting
1403,White,6.0,Consulting
1404,Asian,5.0,PE/VC
1405,Asian,5.0,Health Care
1406,Hispanic,6.0,Nonprofit/Gov
1407,Black,4.0,Nonprofit/Gov
1408,,6.0,Consulting
1409,Other,6.0,Other
1410,Hispanic,6.0,Consulting
1411,White,4.0,Investment Banking
1412,Other,5.0,PE/VC
1413,Hispanic,5.0,Media/Entertainment
1414,,4.0,Consulting
1415,White,4.0,Consulting
1416,Other,4.0,Investment Banking
1417,Black,3.0,Real Estate
1418,Black,5.0,Consulting
1419,Other,4.0,Consulting
1420,Asian,6.0,Consulting
1421,White,5.0,Investment Banking
1422,Hispanic,4.0,Nonprofit/Gov
1423,,4.0,PE/VC
1424,White,7.0,Consulting
1425,Asian,7.0,PE/VC
1426,Other,5.0,Technology
1427,White,4.0,Consulting
1428,White,6.0,Technology
1429,,6.0,Consulting
1430,Black,7.0,Financial Services
1431,Asian,4.0,Investment Banking
1432,,4.0,CPG
1433,Black,6.0,Retail
1434,,5.0,Investment Banking
1435,Hispanic,6.0,Consulting
1436,,6.0,PE/VC
1437,,5.0,Consulting
1438,Black,3.0,Financial Services
1439,,5.0,PE/VC
1440,Black,4.0,Investment Management
1441,Asian,4.0,PE/VC
1442,,6.0,Nonprofit/Gov
1443,White,4.0,Consulting
1444,White,5.0,Health Care
1445,Asian,7.0,Health Care
1446,White,5.0,PE/VC
1447,Asian,6.0,Health Care
1448,Asian,5.0,Technology
1449,White,5.0,Technology
1450,Black,4.0,Consulting
1451,White,4.0,PE/VC
1452,White,5.0,Nonprofit/Gov
1453,White,6.0,Nonprofit/Gov
1454,,6.0,Other
1455,Asian,7.0,Consulting
1456,Asian,4.0,Investment Banking
1457,Black,6.0,PE/VC
1458,,4.0,Consulting
1459,Asian,4.0,Consulting
1460,Other,4.0,Technology
1461,Black,6.0,Financial Services
1462,,6.0,Consulting
1463,Asian,5.0,CPG
1464,,4.0,Technology
1465,,5.0,Financial Services
1466,Asian,5.0,Technology
1467,,5.0,Consulting
1468,,5.0,PE/VC
1469,Black,4.0,Consulting
1470,,7.0,Consulting
1471,Hispanic,5.0,PE/VC
1472,White,6.0,PE/VC
1473,Hispanic,5.0,Real Estate
1474,White,6.0,Health Care
1475,Black,4.0,CPG
1476,White,6.0,Consulting
1477,White,6.0,Nonprofit/Gov
1478,Other,5.0,Financial Services
1479,Asian,5.0,Consulting
1480,Other,4.0,Health Care
1481,White,4.0,Technology
1482,Other,4.0,Technology
1483,,4.0,Energy
1484,Asian,5.0,PE/VC
1485,White,6.0,Investment Banking
1486,,5.0,Other
1487,White,4.0,Media/Entertainment
1488,White,5.0,Investment Management
1489,,6.0,Technology
1490,Black,5.0,Nonprofit/Gov
1491,,4.0,PE/VC
1492,Asian,5.0,PE/VC
1493,White,6.0,Technology
1494,White,4.0,Real Estate
1495,,5.0,Consulting
1496,Black,6.0,Other
1497,White,5.0,PE/VC
1498,Hispanic,5.0,PE/VC
1499,White,5.0,Other
1500,White,5.0,Other
1501,Asian,4.0,Health Care
1502,Other,4.0,PE/VC
1503,,3.0,Nonprofit/Gov
1504,White,5.0,Nonprofit/Gov
1505,Other,6.0,PE/VC
1506,Black,4.0,Investment Banking
1507,White,6.0,Nonprofit/Gov
1508,Asian,6.0,PE/VC
1509,Asian,5.0,Health Care
1510,White,5.0,Investment Banking
1511,,4.0,Other
1512,,4.0,Other
1513,Asian,3.0,PE/VC
1514,White,6.0,PE/VC
1515,Asian,5.0,Retail
1516,White,5.0,Nonprofit/Gov
1517,White,6.0,Health Care
1518,White,5.0,Consulting
1519,Black,5.0,PE/VC
1520,White,5.0,Investment Banking
1521,,4.0,Consulting
1522,,5.0,Consulting
1523,,4.0,Nonprofit/Gov
1524,White,7.0,Investment Banking
1525,Hispanic,5.0,Consulting
1526,Black,5.0,PE/VC
1527,,5.0,Investment Banking
1528,Hispanic,5.0,Consulting
1529,Asian,6.0,Other
1530,,4.0,Technology
1531,Asian,5.0,Technology
1532,Hispanic,6.0,Consulting
1533,,4.0,Consulting
1534,Asian,4.0,PE/VC
1535,Asian,6.0,Technology
1536,White,5.0,PE/VC
1537,Other,3.0,Consulting
1538,Black,6.0,Investment Management
1539,Asian,4.0,Nonprofit/Gov
1540,,4.0,Other
1541,,6.0,Consulting
1542,White,5.0,Investment Banking
1543,Black,4.0,Financial Services
1544,,6.0,Investment Banking
1545,Hispanic,4.0,Consulting
1546,,5.0,Technology
1547,White,6.0,Investment Banking
1548,,4.0,Nonprofit/Gov
1549,Black,5.0,Consulting
1550,Hispanic,6.0,Health Care
1551,,5.0,Consulting
1552,White,5.0,Technology
1553,,8.0,Financial Services
1554,Hispanic,8.0,Other
1555,White,5.0,Nonprofit/Gov
1556,Asian,4.0,Investment Banking
1557,,6.0,Technology
1558,,4.0,Nonprofit/Gov
1559,White,5.0,Consulting
1560,,6.0,Other
1561,Black,5.0,PE/VC
1562,White,5.0,Investment Management
1563,White,4.0,Consulting
1564,Hispanic,3.0,PE/VC
1565,White,5.0,Investment Management
1566,,5.0,Consulting
1567,,4.0,Nonprofit/Gov
1568,,5.0,Financial Services
1569,Black,5.0,Technology
1570,White,5.0,PE/VC
1571,Black,7.0,Investment Banking
1572,,5.0,Health Care
1573,White,6.0,Nonprofit/Gov
1574,,5.0,Other
1575,Hispanic,6.0,Investment Banking
1576,Asian,7.0,Financial Services
1577,White,4.0,Consulting
1578,Asian,3.0,PE/VC
1579,,2.0,Nonprofit/Gov
1580,,5.0,PE/VC
1581,,6.0,Technology
1582,Black,6.0,Consulting
1583,Other,5.0,Consulting
1584,Asian,5.0,Other
1585,,6.0,PE/VC
1586,Hispanic,5.0,Investment Banking
1587,Asian,3.0,Consulting
1588,Asian,5.0,Financial Services
1589,Black,4.0,PE/VC
1590,,6.0,Technology
1591,,5.0,Technology
1592,,4.0,Technology
1593,Hispanic,5.0,Consulting
1594,Black,6.0,Technology
1595,White,5.0,Consulting
1596,White,6.0,Technology
1597,Asian,6.0,Technology
1598,,3.0,Consulting
1599,,5.0,Investment Management
1600,,5.0,Financial Services
1601,Hispanic,4.0,Nonprofit/Gov
1602,Asian,3.0,Technology
1603,White,4.0,Investment Management
1604,,5.0,Technology
1605,White,6.0,Investment Banking
1606,Black,5.0,Investment Banking
1607,Asian,4.0,PE/VC
1608,White,3.0,Consulting
1609,Hispanic,5.0,Consulting
1610,Asian,4.0,Technology
1611,White,6.0,Nonprofit/Gov
1612,,6.0,Technology
1613,Asian,6.0,Other
1614,White,4.0,Other
1615,,5.0,Consulting
1616,Asian,6.0,Consulting
1617,White,4.0,Real Estate
1618,Black,5.0,PE/VC
1619,,4.0,Other
1620,White,6.0,PE/VC
1621,Hispanic,5.0,Financial Services
1622,White,5.0,PE/VC
1623,,3.0,PE/VC
1624,Hispanic,4.0,Consulting
1625,Asian,6.0,Consulting
1626,Black,7.0,Investment Management
1627,White,3.0,Technology
1628,Black,3.0,Technology
1629,,3.0,Financial Services
1630,,5.0,Consulting
1631,Black,5.0,Nonprofit/Gov
1632,Asian,5.0,Investment Banking
1633,Black,6.0,Technology
1634,Asian,7.0,Consulting
1635,Black,5.0,Energy
1636,,5.0,Real Estate
1637,Asian,3.0,Technology
1638,White,5.0,PE/VC
1639,Asian,4.0,Health Care
1640,Black,5.0,Technology
1641,Hispanic,6.0,Other
1642,,5.0,Technology
1643,,6.0,Other
1644,Hispanic,5.0,Investment Banking
1645,White,6.0,Consulting
1646,Black,6.0,Consulting
1647,,7.0,Consulting
1648,Asian,7.0,Other
1649,White,4.0,Nonprofit/Gov
1650,Other,4.0,Consulting
1651,,5.0,Consulting
1652,Other,5.0,Technology
1653,White,4.0,CPG
1654,Other,5.0,Nonprofit/Gov
1655,Asian,4.0,Technology
1656,,6.0,Investment Banking
1657,Hispanic,5.0,Consulting
1658,Hispanic,4.0,Other
1659,White,3.0,Consulting
1660,Hispanic,5.0,Consulting
1661,,6.0,Investment Banking
1662,White,4.0,Health Care
1663,White,7.0,Consulting
1664,,5.0,Investment Banking
1665,White,3.0,Technology
1666,Asian,5.0,Real Estate
1667,White,5.0,Consulting
1668,White,5.0,Financial Services
1669,,6.0,PE/VC
1670,Asian,2.0,Consulting
1671,,5.0,PE/VC
1672,,5.0,Consulting
1673,Hispanic,3.0,Consulting
1674,,5.0,Health Care
1675,,5.0,Technology
1676,,6.0,Technology
1677,,5.0,Retail
1678,Black,5.0,Media/Entertainment
1679,Asian,5.0,Consulting
1680,,5.0,Financial Services
1681,Black,4.0,PE/VC
1682,,6.0,Health Care
1683,White,4.0,Financial Services
1684,,5.0,Investment Banking
1685,Asian,6.0,PE/VC
1686,,5.0,CPG
1687,Black,6.0,Financial Services
1688,Asian,5.0,Other
1689,,5.0,Consulting
1690,Hispanic,6.0,Investment Management
1691,Black,3.0,PE/VC
1692,White,4.0,Consulting
1693,,6.0,Consulting
1694,Asian,4.0,Consulting
1695,,6.0,Technology
1696,Asian,5.0,Technology
1697,Asian,5.0,Investment Management
1698,White,6.0,Financial Services
1699,White,5.0,Consulting
1700,Asian,4.0,Financial Services
1701,Asian,4.0,Consulting
1702,,4.0,Technology
1703,,5.0,Consulting
1704,White,3.0,Technology
1705,Asian,6.0,Nonprofit/Gov
1706,White,6.0,Investment Management
1707,Asian,5.0,Technology
1708,Other,4.0,Investment Banking
1709,,5.0,PE/VC
1710,Black,5.0,Investment Banking
1711,Asian,6.0,CPG
1712,Asian,5.0,Health Care
1713,Asian,5.0,Investment Banking
1714,Black,5.0,PE/VC
1715,White,6.0,Consulting
1716,White,5.0,Consulting
1717,Asian,4.0,Health Care
1718,White,5.0,Consulting
1719,Hispanic,6.0,Other
1720,White,4.0,Consulting
1721,,5.0,Nonprofit/Gov
1722,Black,5.0,Financial Services
1723,,6.0,Investment Banking
1724,White,7.0,PE/VC
1725,White,5.0,Consulting
1726,White,6.0,Consulting
1727,Other,4.0,Consulting
1728,,4.0,PE/VC
1729,Asian,7.0,Other
1730,Black,6.0,Health Care
1731,Asian,6.0,Financial Services
1732,White,7.0,Health Care
1733,Hispanic,6.0,Nonprofit/Gov
1734,White,5.0,Other
1735,White,4.0,Other
1736,Black,5.0,Nonprofit/Gov
1737,Asian,2.0,Other
1738,,5.0,Technology
1739,,5.0,Financial Services
1740,White,4.0,Health Care
1741,,5.0,Other
1742,,4.0,Technology
1743,,4.0,Nonprofit/Gov
1744,Asian,6.0,Consulting
1745,Black,5.0,CPG
1746,Other,5.0,Financial Services
1747,,5.0,PE/VC
1748,Asian,5.0,Consulting
1749,Hispanic,5.0,PE/VC
1750,Hispanic,5.0,PE/VC
1751,Other,6.0,PE/VC
1752,Asian,5.0,Financial Services
1753,,5.0,Nonprofit/Gov
1754,Other,6.0,Technology
1755,,5.0,PE/VC
1756,White,6.0,Nonprofit/Gov
1757,Asian,6.0,Investment Banking
1758,,5.0,Investment Management
1759,Black,4.0,Financial Services
1760,Black,6.0,Consulting
1761,,5.0,Technology
1762,White,5.0,Investment Banking
1763,White,6.0,Health Care
1764,,6.0,Financial Services
1765,Black,6.0,Investment Banking
1766,White,4.0,Consulting
1767,,6.0,Nonprofit/Gov
1768,White,5.0,PE/VC
1769,,5.0,PE/VC
1770,,6.0,Financial Services
1771,,6.0,CPG
1772,Asian,6.0,Technology
1773,Hispanic,5.0,Consulting
1774,Black,5.0,Consulting
1775,White,5.0,PE/VC
1776,Black,5.0,Consulting
1777,,3.0,Consulting
1778,Black,5.0,Other
1779,,5.0,Technology
1780,Asian,3.0,Health Care
1781,White,5.0,Energy
1782,Black,4.0,Consulting
1783,Asian,4.0,Consulting
1784,,4.0,PE/VC
1785,Asian,5.0,Nonprofit/Gov
1786,Black,4.0,Health Care
1787,,6.0,PE/VC
1788,,4.0,Investment Banking
1789,,6.0,Other
1790,,5.0,PE/VC
1791,Asian,5.0,Consulting
1792,,8.0,Investment Management
1793,Black,5.0,Consulting
1794,White,6.0,PE/VC
1795,Asian,4.0,Other
1796,White,4.0,Consulting
1797,,4.0,Investment Banking
1798,Black,3.0,Consulting
1799,,5.0,Consulting
1800,White,7.0,PE/VC
1801,,5.0,Technology
1802,White,6.0,Consulting
1803,Hispanic,6.0,Consulting
1804,Other,5.0,PE/VC
1805,White,5.0,Financial Services
1806,,4.0,Investment Banking
1807,,5.0,Investment Banking
1808,White,3.0,Financial Services
1809,Black,5.0,Financial Services
1810,White,5.0,Consulting
1811,Black,5.0,Other
1812,,5.0,Consulting
1813,White,4.0,Other
1814,White,5.0,Nonprofit/Gov
1815,Black,5.0,Financial Services
1816,,6.0,Financial Services
1817,White,4.0,Investment Management
1818,Asian,5.0,Consulting
1819,,6.0,Investment Banking
1820,White,5.0,Financial Services
1821,Hispanic,5.0,PE/VC
1822,Asian,6.0,Investment Banking
1823,,5.0,Health Care
1824,,6.0,PE/VC
1825,White,4.0,Other
1826,Asian,4.0,PE/VC
1827,,3.0,Consulting
1828,Asian,6.0,PE/VC
1829,White,4.0,Nonprofit/Gov
1830,Other,4.0,Other
1831,Black,6.0,Investment Banking
1832,,3.0,CPG
1833,Black,5.0,PE/VC
1834,Hispanic,5.0,Consulting
1835,,4.0,Consulting
1836,,5.0,Consulting
1837,,5.0,Nonprofit/Gov
1838,,6.0,PE/VC
1839,Black,6.0,Consulting
1840,White,4.0,Investment Banking
1841,Black,5.0,PE/VC
1842,White,6.0,Other
1843,Other,5.0,Consulting
1844,Hispanic,5.0,PE/VC
1845,Asian,4.0,Health Care
1846,Hispanic,6.0,Technology
1847,,5.0,Consulting
1848,White,5.0,Investment Banking
1849,White,6.0,Health Care
1850,White,6.0,Technology
1851,Black,6.0,Investment Banking
1852,,6.0,Real Estate
1853,White,3.0,Other
1854,,6.0,Nonprofit/Gov
1855,Asian,6.0,Financial Services
1856,Hispanic,6.0,Other
1857,Hispanic,4.0,Nonprofit/Gov
1858,Asian,4.0,PE/VC
1859,,6.0,PE/VC
1860,Hispanic,4.0,Nonprofit/Gov
1861,White,5.0,PE/VC
1862,,5.0,PE/VC
1863,Hispanic,5.0,Investment Banking
1864,,4.0,Technology
1865,White,6.0,PE/VC
1866,Other,6.0,Consulting
1867,Hispanic,6.0,PE/VC
