Building Type,Square Footage,Day of Week,Appliances Used,Number of Occupants,Energy Consumption
Commercial,6776,Weekday,29,84,3722.8
Commercial,21952,Weekend,34,22,3867.72
Residential,9212,Weekday,37,77,3392.31
Commercial,781,Weekday,34,4,2696.49
Industrial,44564,Weekday,21,58,5646.19
Commercial,4472,Weekday,34,15,2996.99
Residential,14075,Weekend,27,72,3388.25
Commercial,16978,Weekend,14,48,3546.62
Commercial,10957,Weekend,49,86,4277.54
Commercial,28904,Weekday,3,3,3424.66
Residential,48903,Weekday,22,70,5015.61
Commercial,31695,Weekend,35,99,5132.23
Commercial,18940,Weekday,33,44,3979.37
Commercial,12036,Weekend,47,61,4018.05
Residential,37009,Weekday,18,79,4448.42
Residential,15843,Weekend,37,36,3279.51
Residential,48775,Weekday,27,54,4979.87
Residential,23893,Weekday,37,18,3507.49
Residential,10722,Weekend,40,79,3496.97
Residential,46663,Weekday,28,15,4535.64
Industrial,31178,Weekday,8,68,4787.64
Commercial,33281,Weekday,26,6,4205.07
Commercial,46697,Weekday,7,70,5096.3
Commercial,39350,Weekday,11,77,4946.38
Industrial,21672,Weekday,34,7,4243.36
Industrial,1422,Weekday,24,44,3457.17
Residential,31023,Weekend,23,97,4378.55
Commercial,4590,Weekday,35,6,2961.76
Industrial,41131,Weekend,14,12,4890.31
Residential,41496,Weekend,2,73,4273.37
Residential,5203,Weekend,14,86,2797.21
Industrial,45047,Weekday,45,13,5750.07
Industrial,29341,Weekend,13,2,4190.25
Residential,21107,Weekday,3,70,3241.57
Commercial,24527,Weekend,11,30,3653.25
Commercial,36868,Weekend,22,10,4307.72
Industrial,34677,Weekend,29,55,5272.15
Industrial,12503,Weekend,3,59,3710.69
Residential,17843,Weekday,1,15,2445.25
Residential,35696,Weekday,47,70,4922.82
Industrial,47557,Weekday,30,98,6383.5
Residential,15096,Weekend,11,16,2580.42
Commercial,42399,Weekend,35,58,5332.5
Commercial,16809,Weekday,26,49,3818.71
Residential,37629,Weekend,14,17,3723.56
Industrial,37266,Weekend,31,88,5753.93
Commercial,5584,Weekend,9,21,2521.63
Residential,47324,Weekend,32,30,4678.75
Commercial,22026,Weekend,12,70,3933.39
Industrial,23779,Weekday,6,92,4684.16
Industrial,29269,Weekend,19,35,4600.3
Residential,36340,Weekend,15,42,3880.66
Commercial,7138,Weekday,27,60,3372.2
Industrial,22091,Weekend,30,44,4588.3
Commercial,39562,Weekday,20,88,5147.21
Residential,42063,Weekend,9,77,4464.55
Commercial,40559,Weekend,38,32,4956.67
Commercial,46000,Weekend,41,39,5342.17
Industrial,42374,Weekend,28,36,5390.35
Residential,21109,Weekend,36,78,4003.79
Industrial,4297,Weekday,32,7,3396.51
Industrial,37880,Weekday,11,34,4944.4
Residential,12439,Weekday,33,20,2966.16
Industrial,40863,Weekend,1,47,4945.09
Commercial,12093,Weekday,35,58,3882.94
