RAD,AGE,CHAS,PRICE,RM,INDUS,ZN,TAX,CRIM,NOX,PTRATIO
4,98.4,0,17.1,6.454,21.89,0.0,437,0.35233,0.624,21.2
24,100.0,0,5.0,5.683,18.1,0.0,666,67.9208,0.693,20.2
8,17.0,0,46.7,7.686,6.2,0.0,307,0.29819,0.504,17.4
2,95.8,0,18.8,5.879,25.65,0.0,188,0.09849,0.581,19.1
24,98.1,0,7.2,5.277,18.1,0.0,666,16.8118,0.7,20.2
4,94.7,0,14.3,5.637,21.89,0.0,437,0.88125,0.624,21.2
5,54.3,0,23.1,6.376,7.38,0.0,287,0.18159,0.493,19.6
24,64.7,0,23.0,6.242,18.1,0.0,666,5.82401,0.532,20.2
4,19.5,0,20.6,5.936,1.91,80.0,334,0.10659,0.413,22.0
1,31.9,0,22.0,6.453,2.25,55.0,300,0.01096,0.389,15.3
5,85.9,0,18.9,6.004,7.87,12.5,311,0.17004,0.524,15.2
2,38.3,0,34.6,7.274,1.52,80.0,329,0.03768,0.404,12.6
5,96.2,0,50.0,7.929,19.58,0.0,403,2.01019,0.605,14.7
5,79.9,0,27.5,6.727,8.56,0.0,384,0.14866,0.52,20.9
5,68.7,0,22.6,5.859,4.05,0.0,296,0.08447,0.51,16.6
5,91.9,0,19.5,5.836,8.56,0.0,384,0.1712,0.52,20.9
4,6.2,0,23.4,6.245,10.81,0.0,305,0.19539,0.413,19.2
24,83.4,1,22.7,6.127,18.1,0.0,666,5.20177,0.77,20.2
3,33.3,0,20.0,5.786,6.91,0.0,233,0.18836,0.448,17.9
1,9.9,0,31.1,6.8,2.93,60.0,265,0.02187,0.401,15.6
24,94.8,0,11.8,6.459,18.1,0.0,666,10.6718,0.74,20.2
3,16.3,0,25.2,6.24,6.96,20.0,223,0.16211,0.464,18.6
24,89.9,0,20.2,6.513,18.1,0.0,666,5.82115,0.713,20.2
5,45.4,0,19.0,5.985,5.19,0.0,224,0.05497,0.515,20.2
4,92.7,0,15.2,5.454,27.74,0.0,711,0.15086,0.609,20.1
24,87.9,0,14.3,6.436,18.1,0.0,666,5.58107,0.713,20.2
5,66.6,0,22.9,6.012,7.87,12.5,311,0.08829,0.524,15.2
5,90.8,0,50.0,7.489,19.58,0.0,403,1.46336,0.605,14.7
8,73.3,0,41.7,8.337,6.2,0.0,307,0.57529,0.507,17.4
1,89.3,0,22.0,6.794,11.93,0.0,273,0.10959,0.573,21.0
5,36.6,0,20.3,5.874,12.83,0.0,398,0.08387,0.437,18.7
2,66.1,0,22.6,6.417,3.41,0.0,270,0.04684,0.489,17.8
24,93.3,0,13.9,6.649,18.1,0.0,666,15.288,0.671,20.2
24,75.0,0,23.2,6.437,18.1,0.0,666,3.56868,0.58,20.2
4,59.1,1,24.4,6.064,10.59,0.0,277,0.13587,0.489,18.6
4,98.3,0,7.0,5.414,27.74,0.0,711,0.18337,0.609,20.1
5,38.5,0,20.7,6.31,5.19,0.0,224,0.03738,0.515,20.2
7,17.5,0,26.2,6.718,5.86,22.0,330,0.19073,0.431,19.1
4,21.9,0,18.2,5.663,1.91,80.0,334,0.04301,0.413,22.0
5,37.3,0,20.6,6.059,5.19,0.0,224,0.03306,0.515,20.2
7,58.1,0,28.4,6.616,2.18,33.0,222,0.05479,0.472,18.4
24,91.0,1,21.7,6.395,18.1,0.0,666,3.8497,0.77,20.2
24,56.7,0,20.1,5.713,18.1,0.0,666,13.0751,0.58,20.2
24,85.4,0,8.5,5.531,18.1,0.0,666,41.5292,0.693,20.2
4,63.0,0,20.5,6.115,5.64,21.0,243,0.04337,0.439,16.8
24,84.7,0,19.0,5.952,18.1,0.0,666,3.77498,0.655,20.2
24,96.7,0,14.6,6.185,18.1,0.0,666,10.233,0.614,20.2
24,82.9,1,21.9,8.78,18.1,0.0,666,3.47428,0.718,20.2
3,15.8,0,34.9,7.024,2.95,75.0,252,0.03359,0.428,18.3
8,47.2,0,19.6,5.927,5.13,25.0,284,0.10328,0.453,19.7
7,70.2,0,18.5,5.605,5.86,22.0,330,0.19133,0.431,19.1
24,48.2,0,19.9,5.759,18.1,0.0,666,3.1636,0.655,20.2
4,94.4,0,18.4,6.495,8.14,0.0,307,0.77299,0.538,21.0
8,76.5,1,25.1,6.631,6.2,0.0,307,0.52058,0.507,17.4
2,92.9,0,20.5,5.961,25.65,0.0,188,0.09299,0.581,19.1
5,100.0,0,30.1,6.842,3.97,20.0,264,0.65665,0.647,13.0
5,84.6,0,30.7,7.014,3.97,20.0,264,0.7857,0.647,13.0
24,96.0,0,12.5,6.405,18.1,0.0,666,5.87205,0.693,20.2
24,89.1,0,10.4,5.304,18.1,0.0,666,25.9406,0.679,20.2
