major,gpa,work_exp,admission,application_id
STEM,3.19,6.0,,2043
STEM,3.27,5.0,,4273
Humanities,3.26,4.0,,2220
Humanities,3.29,4.0,Admit,1727
STEM,3.37,5.0,Admit,2690
Humanities,3.35,6.0,Admit,84
STEM,3.09,4.0,,5348
STEM,3.23,5.0,,1606
Humanities,2.9,5.0,,3093
Humanities,3.45,6.0,,821
STEM,3.19,4.0,,6186
Business,3.2,4.0,,3250
Business,3.02,6.0,,4662
Business,3.26,4.0,,2380
Humanities,3.41,4.0,,3609
Business,3.61,2.0,,1737
Humanities,3.18,7.0,,2623
Business,3.29,6.0,,1865
STEM,3.3,5.0,,5683
STEM,2.96,5.0,,1465
Business,3.06,5.0,,6148
Humanities,2.98,5.0,,876
STEM,3.28,5.0,,741
Business,3.15,4.0,,2676
Humanities,3.14,4.0,,1817
Business,3.15,4.0,,4905
Humanities,3.15,5.0,,3531
Humanities,3.12,4.0,,3374
Humanities,3.06,6.0,,1065
STEM,3.29,5.0,,3101
STEM,3.12,4.0,,5266
Business,3.15,4.0,,5569
Humanities,3.1,6.0,,762
STEM,3.23,7.0,,3293
Business,3.46,7.0,,3678
Humanities,3.33,6.0,Admit,5728
Business,3.11,4.0,,4193
STEM,3.44,4.0,,56
Business,3.47,4.0,,992
Humanities,3.26,3.0,Admit,5932
Business,3.26,4.0,,2735
Humanities,3.15,3.0,,174
Business,3.34,6.0,Admit,3341
Business,3.22,6.0,,2578
Humanities,3.08,4.0,,2769
Business,2.99,7.0,,924
Business,3.42,7.0,,1114
Business,3.28,6.0,,3686
STEM,3.28,5.0,Waitlist,880
STEM,3.28,5.0,,1471
Humanities,3.55,4.0,,2285
Humanities,3.05,4.0,,5752
Humanities,3.22,5.0,Admit,5967
Humanities,3.08,6.0,,2156
STEM,3.51,6.0,,5809
Business,3.49,5.0,,6190
Business,3.15,4.0,,5636
Business,3.37,4.0,,856
Humanities,3.33,6.0,Admit,3162
STEM,3.28,5.0,,1070
Humanities,3.55,5.0,,2014
STEM,3.32,4.0,,523
STEM,3.08,7.0,,5330
Humanities,3.28,5.0,,4320
Humanities,3.27,6.0,,3286
Business,3.04,7.0,,603
Humanities,3.16,4.0,Admit,541
Humanities,3.24,6.0,,1212
STEM,3.19,6.0,,1474
Humanities,3.21,5.0,,5547
Business,3.27,3.0,Admit,3780
Humanities,3.33,6.0,Admit,4659
STEM,3.32,4.0,Admit,5735
Business,3.33,4.0,,525
STEM,3.65,5.0,Admit,1912
STEM,3.24,6.0,,1178
STEM,3.17,6.0,,960
Business,3.36,4.0,Admit,3364
Business,3.27,4.0,,4711
STEM,3.14,6.0,,3938
Humanities,3.42,5.0,,5743
Humanities,2.91,6.0,,5719
STEM,3.32,6.0,,3791
STEM,3.2,4.0,,1415
Humanities,3.28,5.0,,796
Business,3.07,6.0,,5546
Humanities,3.39,5.0,,616
STEM,3.27,6.0,Admit,2076
Business,3.34,3.0,,2127
Business,3.0,5.0,,4142
STEM,3.43,5.0,,5046
STEM,3.12,5.0,,2887
Business,3.38,6.0,,632
Business,3.39,5.0,,3544
STEM,3.36,3.0,,638
STEM,3.29,6.0,,1248
STEM,3.06,5.0,,5136
STEM,2.73,6.0,,1493
STEM,3.36,5.0,Admit,564
Humanities,3.48,5.0,,6182
Humanities,3.09,5.0,,4131
Humanities,3.15,5.0,,4263
Humanities,3.39,4.0,,2276
Business,3.33,3.0,Admit,652
Humanities,3.13,5.0,,3016
Business,2.96,5.0,,5740
Business,3.36,5.0,Waitlist,3265
STEM,3.41,3.0,,4430
Business,3.24,4.0,,3338
Humanities,3.36,6.0,,2575
Humanities,3.07,6.0,,4009
STEM,3.23,4.0,,4414
Business,3.25,4.0,Admit,5851
Business,3.37,7.0,,3554
Humanities,3.42,5.0,,5578
Business,3.21,5.0,Admit,1555
Business,3.25,5.0,,5920
Humanities,2.98,5.0,,2465
Humanities,3.53,5.0,,2486
Humanities,3.26,4.0,,4762
Humanities,3.4,5.0,,5133
Business,3.12,4.0,Admit,41
Business,3.0,5.0,,3948
Humanities,3.37,4.0,,439
Business,3.22,5.0,Admit,3086
Humanities,3.36,6.0,,2689
Humanities,3.31,5.0,,1252
STEM,3.29,5.0,,1885
Business,3.28,7.0,Admit,2291
Humanities,3.22,6.0,,5476
Business,3.39,4.0,,1013
Humanities,3.35,5.0,,2982
Humanities,3.4,5.0,Admit,3463
Humanities,3.25,5.0,,1811
Humanities,3.29,4.0,,3421
STEM,3.35,5.0,,5674
STEM,3.29,6.0,,1256
Humanities,3.2,6.0,,303
Business,3.23,6.0,Admit,5373
Business,3.15,3.0,,3257
Business,3.08,6.0,,4703
Humanities,3.58,6.0,,1375
STEM,2.95,6.0,,4008
Business,3.16,4.0,,1137
STEM,2.93,5.0,,4878
Humanities,3.13,6.0,,4328
Business,3.22,5.0,,369
Humanities,2.98,6.0,,2610
Business,3.27,6.0,,1111
Humanities,3.29,5.0,,5866
Humanities,3.2,6.0,,4146
Business,3.29,5.0,,4995
STEM,3.24,5.0,,4279
Business,3.31,7.0,,971
Humanities,3.04,5.0,,4319
Business,3.4,4.0,Admit,4492
Humanities,3.27,6.0,,368
Humanities,3.27,7.0,,5702
Humanities,3.04,5.0,,4215
Business,3.06,4.0,,4209
Business,3.21,4.0,Admit,5214
Business,3.37,4.0,,1338
Humanities,3.42,5.0,,5102
Business,3.23,7.0,,3502
Humanities,3.39,4.0,Admit,4504
Humanities,3.42,3.0,,3169
STEM,3.32,6.0,,3125
Humanities,3.17,5.0,,2796
Humanities,3.35,4.0,Admit,2879
STEM,3.37,7.0,,4581
STEM,3.25,4.0,,2226
Business,3.4,7.0,,4535
Business,3.02,5.0,,4709
Humanities,3.29,6.0,,3192
Business,3.36,4.0,,4052
STEM,3.27,3.0,,755
STEM,3.04,6.0,,4182
Humanities,3.39,7.0,,409
Humanities,3.01,5.0,,1351
Humanities,3.22,5.0,,3863
Business,3.27,5.0,,4147
Business,3.38,6.0,,5552
Humanities,3.31,4.0,Admit,1347
Humanities,3.1,5.0,,5652
Business,3.41,6.0,Admit,5365
Humanities,3.24,3.0,,2518
STEM,3.3,2.0,,481
Humanities,3.28,4.0,Waitlist,508
STEM,3.32,5.0,,5909
Humanities,3.22,7.0,Admit,5356
STEM,3.31,6.0,,4137
Humanities,3.17,6.0,,4166
STEM,3.46,5.0,Admit,117
Business,3.24,6.0,,3623
STEM,3.39,5.0,Admit,3168
Humanities,3.01,5.0,,2312
STEM,3.38,7.0,,5376
Humanities,3.19,5.0,,3038
Humanities,3.46,5.0,Admit,5925
Humanities,3.42,7.0,,2571
Humanities,3.23,5.0,,3951
STEM,3.01,5.0,,1636
STEM,3.23,5.0,,1323
STEM,3.32,5.0,,4431
Business,3.09,7.0,,793
STEM,3.24,4.0,Admit,3762
Humanities,3.22,6.0,,2971
STEM,3.26,6.0,Admit,381
Humanities,3.36,5.0,,4906
STEM,3.19,6.0,,4421
Business,3.2,6.0,,6163
Business,3.16,5.0,,5914
STEM,3.23,4.0,,3009
Humanities,3.43,6.0,Admit,5499
Humanities,3.37,6.0,,4873
Humanities,3.1,4.0,,3428
Business,3.13,6.0,,1875
Business,3.35,6.0,Admit,1122
STEM,3.41,5.0,,5691
Humanities,3.33,6.0,,4226
STEM,3.13,6.0,,6061
Humanities,3.3,5.0,,6038
STEM,3.22,6.0,,1976
Humanities,2.84,6.0,,1573
Humanities,3.08,5.0,,2861
Humanities,3.15,7.0,,4462
STEM,3.12,3.0,,3287
Humanities,3.28,3.0,,4758
STEM,2.97,5.0,,1516
Humanities,2.98,5.0,,5229
Humanities,3.08,4.0,,4181
Humanities,3.47,5.0,Admit,2798
Business,3.36,3.0,,3260
Business,3.28,5.0,,3523
STEM,3.15,6.0,,4846
STEM,3.22,3.0,Admit,676
Business,3.26,6.0,,4648
Humanities,3.18,5.0,,1446
Humanities,3.21,5.0,,1039
STEM,3.24,5.0,,2939
Business,3.42,5.0,,2265
STEM,3.18,3.0,,5635
Business,2.95,5.0,,2517
Humanities,3.19,5.0,,2299
Business,3.29,5.0,,596
STEM,3.08,6.0,,4779
STEM,3.3,6.0,Admit,2981
Business,3.24,4.0,,6168
Business,3.31,3.0,,1627
Humanities,3.19,3.0,,817
Business,3.46,5.0,Admit,5764
Business,3.11,6.0,,4707
STEM,3.16,6.0,,1357
Business,3.13,4.0,,1339
STEM,3.43,4.0,Admit,3955
Humanities,3.12,4.0,,3230
Humanities,3.08,4.0,,839
STEM,2.78,7.0,,1067
Business,3.44,4.0,,5537
STEM,3.19,5.0,Waitlist,435
STEM,3.38,5.0,,4418
STEM,3.65,5.0,Admit,30
Business,3.27,5.0,Admit,3255
Business,3.06,4.0,,3728
STEM,3.17,7.0,,560
Humanities,3.52,4.0,,5182
Humanities,3.24,3.0,,5354
STEM,3.32,5.0,,395
Humanities,3.34,7.0,,4420
STEM,3.13,7.0,,2541
Humanities,3.16,5.0,,998
STEM,3.14,8.0,,2599
Humanities,3.42,5.0,,3797
STEM,3.48,5.0,Waitlist,4849
Humanities,3.22,5.0,,731
STEM,3.33,4.0,,1162
STEM,3.31,4.0,Admit,2672
Humanities,2.96,5.0,,502
STEM,3.27,5.0,,4173
Business,3.44,6.0,,5951
Humanities,3.06,3.0,,784
Humanities,3.28,5.0,,1660
Humanities,3.15,6.0,,5781
STEM,3.32,4.0,,5533
Business,2.98,5.0,,4684
Humanities,3.18,4.0,,567
Humanities,3.65,6.0,,103
Business,3.16,6.0,,3319
Humanities,3.59,6.0,,1196
Humanities,3.17,8.0,,3687
Business,3.21,6.0,,1410
Humanities,3.33,4.0,,809
Humanities,3.3,6.0,,5202
Humanities,2.99,7.0,,1260
STEM,3.41,6.0,Admit,5408
STEM,3.3,5.0,,5988
STEM,3.17,5.0,,925
Humanities,3.22,4.0,,5105
STEM,3.24,6.0,,5426
Business,3.37,5.0,,1434
Business,2.9,6.0,,1641
STEM,3.18,5.0,,5583
Humanities,3.19,6.0,,4920
Humanities,3.16,5.0,,3952
Humanities,3.43,6.0,Admit,1711
Business,3.24,7.0,,3550
Humanities,3.29,5.0,,3895
Humanities,3.15,5.0,,1053
STEM,3.43,6.0,Admit,1687
Humanities,3.19,5.0,,6050
Humanities,3.21,5.0,,1308
STEM,3.31,5.0,Admit,4498
STEM,3.5,6.0,Admit,1764
Humanities,3.35,6.0,,2737
Business,3.31,5.0,,4994
STEM,3.32,4.0,Admit,5655
STEM,3.5,3.0,Admit,6090
Business,3.4,6.0,,1842
Humanities,3.44,7.0,Admit,1035
Business,3.4,7.0,,2957
STEM,3.17,4.0,,6010
Business,3.38,5.0,,5785
Humanities,2.93,5.0,,4818
Business,3.32,5.0,,3953
Business,3.2,5.0,,3565
Business,3.26,5.0,,1748
STEM,3.24,5.0,Admit,322
STEM,3.15,6.0,,5950
Business,3.32,3.0,,4208
STEM,3.29,5.0,,1675
STEM,3.32,6.0,,125
Humanities,3.38,4.0,Waitlist,2277
STEM,3.41,4.0,,3258
STEM,3.44,4.0,,4990
Business,3.25,4.0,Admit,4776
STEM,3.19,4.0,,1156
Business,3.19,5.0,,3056
Humanities,3.13,5.0,,47
Humanities,3.26,5.0,Admit,1127
STEM,3.33,7.0,Admit,1984
Business,3.11,3.0,,1578
Business,3.33,5.0,,449
Business,3.16,2.0,,5730
Humanities,3.27,4.0,,258
Humanities,3.02,4.0,,1194
Humanities,3.05,3.0,,359
Humanities,3.06,4.0,,5035
Humanities,3.21,6.0,,2637
Humanities,3.29,6.0,Admit,3067
Humanities,3.12,3.0,,2491
STEM,3.19,4.0,,1487
Humanities,3.34,5.0,,5873
Business,3.2,5.0,,900
STEM,3.44,3.0,,6117
Humanities,3.21,5.0,,454
Humanities,3.27,4.0,Admit,3034
Business,3.26,4.0,,1491
Humanities,3.17,6.0,,472
STEM,3.17,4.0,,5321
Humanities,3.24,6.0,,306
STEM,3.33,4.0,Admit,583
STEM,3.03,5.0,Admit,15
Business,3.39,6.0,Admit,3181
STEM,3.22,5.0,,5448
Business,3.19,4.0,,4739
STEM,3.12,6.0,,1597
STEM,3.51,6.0,,2602
Humanities,3.46,6.0,Admit,4291
Humanities,3.09,4.0,,3329
Humanities,3.35,5.0,,1823
STEM,3.23,5.0,,5778
STEM,3.25,5.0,,1181
Humanities,3.26,5.0,,3553
Humanities,3.35,1.0,Admit,5679
STEM,3.36,5.0,,2760
Humanities,3.37,7.0,,4565
Humanities,3.29,4.0,,2691
Humanities,3.25,6.0,,5158
Business,3.51,5.0,Admit,1421
Humanities,3.11,7.0,,3841
Humanities,3.21,4.0,,3381
Humanities,3.2,5.0,,3247
Business,3.15,5.0,,2745
STEM,3.34,5.0,,4368
Business,3.02,5.0,,2171
STEM,3.42,5.0,,540
Humanities,3.36,4.0,Admit,4785
STEM,3.35,4.0,,4078
Humanities,3.31,5.0,,3511
Humanities,3.51,5.0,,2520
STEM,2.99,4.0,,4003
STEM,3.15,4.0,,544
Business,3.38,5.0,,1790
STEM,3.26,4.0,,5192
Business,3.4,6.0,,3970
Business,3.23,4.0,,6167
STEM,3.14,4.0,,3645
STEM,3.15,5.0,,3014
STEM,3.07,5.0,Waitlist,418
Business,3.46,6.0,,920
STEM,3.25,4.0,Admit,443
Business,3.3,4.0,,448
STEM,3.09,5.0,,4806
STEM,3.53,6.0,Admit,3167
Humanities,3.21,4.0,,2705
Humanities,3.19,5.0,,1703
Humanities,3.19,5.0,,2183
Humanities,3.17,4.0,,1036
STEM,3.25,8.0,,1553
Humanities,3.3,6.0,,2869
Humanities,3.28,4.0,,1481
Business,3.24,5.0,,4089
Business,3.18,4.0,,4085
STEM,3.54,5.0,Admit,3539
Humanities,3.0,7.0,,3221
Business,3.36,8.0,,3556
STEM,3.35,6.0,,3872
Business,3.28,6.0,,3810
Business,3.27,4.0,,1903
Business,3.42,5.0,,5704
Business,2.95,5.0,,145
Business,3.48,5.0,Admit,473
STEM,3.22,5.0,,156
Humanities,3.11,4.0,,4327
Business,3.26,4.0,,693
STEM,3.29,6.0,,2712
Business,3.25,5.0,,5292
Business,3.08,7.0,,29
Humanities,3.18,6.0,,389
Humanities,3.24,5.0,,2852
STEM,3.11,6.0,,1852
STEM,3.13,5.0,,5087
Business,3.06,4.0,,2150
STEM,3.27,6.0,,2817
Humanities,3.23,5.0,,5571
Business,3.24,6.0,,2341
Business,3.36,4.0,Admit,4282
Humanities,3.48,5.0,Waitlist,4938
Business,3.56,5.0,,878
Humanities,3.18,4.0,,4399
Humanities,3.24,5.0,,5391
STEM,3.47,3.0,,590
STEM,3.04,3.0,,3011
Humanities,3.2,5.0,,843
Business,3.2,6.0,,1050
Humanities,3.33,5.0,,5398
Humanities,3.03,4.0,,5125
STEM,3.33,5.0,,4626
STEM,3.32,5.0,,1569
Humanities,3.37,5.0,,2351
STEM,3.17,5.0,,350
STEM,3.11,5.0,,5502
Humanities,3.44,3.0,Admit,5318
Humanities,3.42,6.0,,1507
Humanities,3.45,5.0,Admit,1358
Business,3.08,5.0,,3869
Business,3.37,3.0,,5196
Humanities,3.42,4.0,Admit,4099
Humanities,3.41,5.0,Admit,4434
STEM,3.29,4.0,,2365
Business,3.22,4.0,Admit,3747
STEM,3.43,8.0,,4037
Business,3.44,6.0,,126
Humanities,3.32,7.0,,5211
STEM,2.93,6.0,,4500
STEM,3.4,6.0,,4444
STEM,3.27,3.0,Admit,5519
Humanities,3.05,4.0,,3118
Humanities,3.28,6.0,Admit,3784
Humanities,3.0,3.0,,2355
STEM,3.5,5.0,Admit,3964
Humanities,3.45,5.0,Admit,2345
STEM,3.29,6.0,,5169
STEM,2.9,5.0,,2757
STEM,3.04,5.0,,867
Humanities,3.48,5.0,,5132
STEM,3.41,5.0,,3583
Business,3.14,5.0,,4158
STEM,3.52,6.0,,83
Humanities,3.18,5.0,,3697
STEM,3.21,6.0,,148
STEM,3.27,5.0,Admit,3397
Business,3.31,4.0,,517
Humanities,3.16,5.0,,3476
STEM,3.22,6.0,,3715
Humanities,3.03,5.0,,2270
STEM,3.37,5.0,Admit,2289
Business,3.31,5.0,,2698
Humanities,3.49,4.0,,5770
STEM,3.39,5.0,Admit,2686
Humanities,3.44,5.0,,5067
Humanities,3.38,4.0,,2318
Business,3.34,5.0,,4595
Humanities,3.08,4.0,,4524
Humanities,3.06,5.0,,1678
STEM,3.23,5.0,Admit,4753
STEM,3.21,5.0,,2999
Humanities,3.36,6.0,,4585
STEM,3.35,6.0,,3962
STEM,3.31,7.0,,3698
Humanities,3.23,5.0,,3099
Humanities,3.36,5.0,Waitlist,697
Humanities,3.56,6.0,Admit,4926
Business,3.2,7.0,,2655
Business,3.19,7.0,,3778
Business,2.89,4.0,,6054
Humanities,3.09,5.0,,4270
STEM,3.05,6.0,,1369
Humanities,3.19,5.0,,3415
Humanities,3.23,6.0,,3819
Business,3.38,5.0,Admit,5251
Business,3.34,5.0,Admit,104
Business,3.14,5.0,,1271
STEM,3.3,6.0,Admit,1074
Humanities,3.11,6.0,,5898
Humanities,3.54,6.0,,5050
STEM,3.28,5.0,,3423
Humanities,3.46,5.0,,4775
Business,3.44,5.0,,3212
Humanities,3.14,6.0,,6083
Humanities,3.4,5.0,,6066
STEM,3.0,3.0,Admit,63
Humanities,3.23,6.0,Admit,273
Humanities,3.13,4.0,,6162
Humanities,3.29,5.0,,3144
STEM,3.41,3.0,,2916
Humanities,3.4,5.0,Admit,3974
STEM,3.22,4.0,,4493
Business,3.32,8.0,,2245
Business,3.04,6.0,,2717
Humanities,3.3,4.0,,700
Business,3.42,5.0,,3500
Humanities,3.29,5.0,,997
Business,3.42,4.0,,3246
Humanities,3.29,5.0,,3822
Humanities,3.23,5.0,Admit,5387
STEM,3.16,4.0,,2363
Humanities,2.92,4.0,,3607
Humanities,3.34,6.0,,4014
Humanities,3.25,5.0,,113
Humanities,3.15,6.0,,3237
Business,3.24,4.0,,1915
Humanities,3.23,5.0,,1241
Business,3.53,6.0,Admit,2356
STEM,3.25,4.0,,3745
Humanities,3.46,4.0,,3763
STEM,3.25,5.0,Admit,2741
Business,3.49,5.0,Admit,2619
Business,3.51,4.0,,4619
Business,2.99,5.0,,4119
Humanities,3.18,4.0,,5385
Humanities,3.11,6.0,,1656
STEM,3.42,5.0,Admit,3957
Business,3.23,4.0,,2029
Humanities,3.41,7.0,,2933
Business,3.2,4.0,,3134
STEM,3.43,4.0,,5582
STEM,3.31,3.0,Admit,1096
Business,3.27,6.0,Admit,2104
Humanities,3.27,5.0,,5799
Business,3.03,6.0,,5633
STEM,3.21,4.0,,4443
STEM,3.25,6.0,,4603
Business,3.22,6.0,,5711
Humanities,3.44,7.0,,2462
Business,3.29,4.0,,1247
Humanities,3.35,4.0,,5554
Humanities,3.21,4.0,,1806
STEM,3.39,4.0,,28
Business,3.13,4.0,,5568
Business,3.22,5.0,,2992
STEM,3.15,6.0,,4091
STEM,3.55,5.0,,4383
Humanities,3.4,6.0,,3098
Business,3.45,6.0,,5012
Humanities,3.3,1.0,,1349
Business,3.4,5.0,,5255
Business,3.13,4.0,,1796
Business,3.31,7.0,,5594
Humanities,3.47,4.0,,2995
Business,3.33,5.0,,1387
Humanities,3.46,5.0,,5842
Business,3.4,4.0,,181
STEM,3.53,5.0,Admit,305
Humanities,3.39,4.0,,3240
STEM,3.17,6.0,,4606
Humanities,3.23,5.0,,3467
Business,3.45,6.0,Waitlist,5363
STEM,3.27,5.0,,4898
Business,3.21,5.0,,1097
STEM,3.39,6.0,,794
Business,3.46,5.0,,1326
Humanities,3.35,5.0,,6003
Humanities,3.12,7.0,,4596
Humanities,3.32,6.0,,3774
STEM,3.33,5.0,Waitlist,2677
Business,3.08,4.0,,2559
Business,3.02,5.0,,4726
Business,3.15,3.0,,2387
STEM,3.05,6.0,,5224
Business,3.2,5.0,,4039
STEM,3.2,4.0,,325
Humanities,3.29,4.0,,3555
Business,3.25,7.0,,6057
Humanities,3.13,4.0,,433
Humanities,3.14,5.0,,3200
Humanities,3.4,5.0,Admit,4252
Business,3.19,3.0,,1888
Humanities,3.48,6.0,,5269
Humanities,3.38,5.0,,2362
Business,3.27,3.0,,1417
Humanities,3.26,5.0,,2474
STEM,3.56,6.0,,432
Business,3.26,5.0,,1331
STEM,3.31,5.0,,5510
Business,3.47,6.0,,5822
Business,3.23,3.0,,885
STEM,2.99,7.0,,1647
Humanities,3.49,5.0,Admit,4148
Humanities,3.25,5.0,Admit,314
STEM,3.33,5.0,Admit,3254
Humanities,3.28,5.0,Admit,5604
Humanities,3.44,6.0,,1435
Business,3.02,4.0,,5487
STEM,3.08,6.0,,2394
Humanities,3.34,6.0,Admit,5755
Humanities,3.38,6.0,,2379
Humanities,3.31,4.0,,2218
STEM,3.03,7.0,,4875
Humanities,3.34,4.0,Admit,4391
Business,3.32,5.0,,4140
STEM,3.43,4.0,Admit,4622
Humanities,3.41,5.0,,2587
Humanities,3.18,4.0,,5931
Humanities,3.34,5.0,,4359
STEM,3.21,6.0,,3475
Humanities,3.11,8.0,,1554
STEM,3.27,5.0,,1993
Business,2.99,6.0,,3968
Humanities,3.24,6.0,,4511
STEM,3.36,5.0,Admit,4024
Business,3.17,6.0,,5746
Business,3.29,5.0,Admit,2658
Humanities,3.12,3.0,Waitlist,438
Humanities,3.06,5.0,,903
Humanities,3.28,5.0,,5331
STEM,3.31,6.0,Waitlist,1152
STEM,3.02,6.0,,2478
STEM,3.48,6.0,,640
STEM,3.31,5.0,,2729
Humanities,3.34,4.0,,2618
Business,3.25,4.0,,3277
STEM,3.27,7.0,,597
Humanities,3.24,4.0,,4167
STEM,3.06,4.0,,2515
STEM,3.21,6.0,Admit,1535
Business,3.21,4.0,,382
STEM,3.17,5.0,,3693
Business,3.15,6.0,,5586
Humanities,3.55,5.0,,3223
STEM,3.25,5.0,,3868
STEM,3.35,5.0,Admit,3073
Business,3.29,5.0,,5301
STEM,3.36,5.0,,2699
Humanities,3.35,5.0,Admit,6178
Humanities,3.17,5.0,,6095
Humanities,3.34,5.0,,5055
STEM,3.48,5.0,,5508
Business,3.52,5.0,,3413
Humanities,3.3,5.0,,2071
Business,3.34,6.0,,2557
STEM,3.21,5.0,,5048
STEM,3.42,5.0,,4237
Humanities,3.29,6.0,,3854
Humanities,3.09,5.0,,2670
Humanities,3.25,5.0,,1105
Humanities,3.36,5.0,,4783
Humanities,3.07,4.0,,3755
Humanities,3.18,4.0,,6131
Business,3.01,5.0,,4822
Humanities,3.22,4.0,,4234
Business,3.44,6.0,,4060
Humanities,3.25,5.0,,2059
STEM,3.18,5.0,,4997
Business,3.42,5.0,,674
Humanities,3.56,4.0,,3737
Humanities,3.08,5.0,,3285
Humanities,3.2,6.0,Admit,990
Business,3.51,5.0,,5111
STEM,3.29,5.0,,4881
STEM,3.02,4.0,,4475
STEM,3.26,6.0,,4329
Humanities,3.46,5.0,,3559
Business,3.38,3.0,,4247
STEM,3.34,3.0,,4558
Business,3.32,5.0,,5673
Business,3.24,4.0,,3912
Humanities,3.51,6.0,,5900
STEM,3.28,6.0,,1816
Business,3.47,7.0,,6029
Business,3.32,4.0,,5238
STEM,3.33,5.0,,2572
Humanities,3.06,5.0,,5005
Business,3.33,5.0,,2813
Humanities,3.65,4.0,Admit,1858
STEM,3.26,5.0,,3347
Business,3.15,6.0,,5357
Humanities,3.31,5.0,,2247
Humanities,3.52,5.0,,2875
STEM,3.17,6.0,Admit,175
Humanities,3.3,4.0,,4485
STEM,2.86,5.0,,1752
Business,3.22,6.0,,1756
Humanities,3.02,4.0,,1782
Humanities,3.14,6.0,,1605
STEM,3.27,8.0,,5234
STEM,3.17,5.0,,1109
Business,3.05,5.0,,2470
Humanities,3.08,5.0,,3829
Humanities,3.12,4.0,,3163
Business,3.28,5.0,,889
Humanities,3.56,5.0,,1201
Humanities,3.44,3.0,,5514
STEM,3.22,4.0,,5670
STEM,3.26,4.0,,3201
Humanities,3.48,4.0,,3803
Humanities,2.78,5.0,,1310
Business,3.33,5.0,,2110
STEM,3.26,5.0,Admit,6033
Humanities,3.08,5.0,,3626
Business,3.23,5.0,Admit,1924
STEM,2.89,5.0,,1439
Humanities,3.15,5.0,,4936
Business,3.27,5.0,,554
Humanities,3.23,4.0,,2230
STEM,2.87,4.0,,2169
STEM,3.1,6.0,,5859
Business,3.43,4.0,,3348
Business,3.1,6.0,,5342
Humanities,3.37,4.0,,2728
STEM,3.22,4.0,,934
STEM,3.28,3.0,,2484
Business,3.28,6.0,Admit,3760
Humanities,3.33,3.0,,178
STEM,3.23,5.0,,4778
Business,3.28,4.0,,974
Humanities,3.09,5.0,,1262
Humanities,3.25,4.0,,1766
Humanities,3.2,4.0,,5390
Humanities,3.26,6.0,,877
Business,3.18,4.0,,3621
STEM,3.26,6.0,,4943
Humanities,3.33,5.0,Waitlist,72
STEM,3.36,6.0,,4062
STEM,3.18,7.0,,2967
STEM,3.1,4.0,,299
Humanities,2.98,6.0,,4225
Business,3.23,8.0,,5309
STEM,3.26,3.0,Waitlist,5296
Business,3.2,5.0,,5410
Humanities,3.32,4.0,,116
Business,3.11,5.0,,4541
Business,3.34,4.0,Admit,271
Humanities,3.37,4.0,,504
Business,3.33,4.0,,5171
Humanities,3.42,6.0,,4116
Business,3.36,5.0,,3798
STEM,3.35,5.0,Admit,5001
Humanities,3.29,5.0,,4857
Humanities,3.05,4.0,,5975
Humanities,3.36,6.0,,6105
Business,3.32,5.0,Admit,2051
STEM,3.07,5.0,,2804
Business,3.48,6.0,,3902
STEM,3.5,6.0,,2624
Business,3.28,5.0,,1379
Business,3.11,5.0,,3873
STEM,3.28,7.0,,668
STEM,3.23,4.0,Admit,2519
STEM,3.49,6.0,Admit,782
Business,3.06,6.0,,1038
Humanities,3.19,4.0,,5630
Business,3.25,6.0,,1397
Business,3.25,3.0,,1220
Humanities,3.58,5.0,,5351
Humanities,3.37,6.0,,4437
Humanities,2.91,5.0,,3018
Business,3.31,7.0,,5966
Business,3.02,4.0,,5738
Humanities,3.13,7.0,,4963
Business,3.04,6.0,,2206
Humanities,3.26,3.0,,4810
Humanities,3.39,6.0,,1824
Business,3.16,5.0,,3899
STEM,3.25,6.0,,4732
Business,3.14,6.0,,5667
Business,3.28,6.0,,464
Humanities,3.13,5.0,,3643
Humanities,3.56,5.0,Admit,3296
STEM,2.97,5.0,,1562
Humanities,3.21,6.0,,3189
Business,3.25,6.0,,605
STEM,2.95,6.0,,624
Humanities,2.87,6.0,,4112
STEM,3.18,6.0,Admit,344
Humanities,3.37,6.0,,6142
Humanities,3.39,6.0,,5257
Business,3.15,6.0,,2871
STEM,3.31,6.0,,5195
Business,3.06,5.0,,364
Humanities,3.41,4.0,Admit,4246
STEM,3.07,7.0,,3802
Humanities,3.33,5.0,Admit,2767
Business,3.49,6.0,,5725
STEM,3.02,6.0,,1926
STEM,3.31,6.0,,6068
Humanities,3.07,5.0,,5965
Business,3.27,5.0,,4061
STEM,3.27,3.0,,993
Business,2.97,6.0,,3406
STEM,3.36,5.0,,3646
STEM,3.11,4.0,,3242
Humanities,3.0,4.0,,547
STEM,3.03,3.0,,3652
STEM,3.46,5.0,,2695
STEM,3.35,6.0,,6076
STEM,3.31,5.0,,4687
STEM,3.33,6.0,,2596
STEM,3.12,5.0,,5881
Business,3.17,4.0,,3894
Business,3.18,5.0,,3744
Humanities,3.49,5.0,Admit,394
STEM,3.04,5.0,,5406
Humanities,3.27,3.0,,1003
STEM,3.16,4.0,,2558
Humanities,3.01,6.0,,3198
Business,3.1,4.0,,1367
STEM,3.1,4.0,,4221
Humanities,3.31,5.0,Admit,2682
Business,3.12,5.0,,4170
STEM,3.42,3.0,,5368
Business,3.37,5.0,,393
Humanities,3.0,5.0,,2022
Business,3.19,5.0,,5751
Business,2.94,6.0,,2172
STEM,3.11,4.0,,1281
Business,3.33,5.0,Admit,886
