RM,PRICE,ZN,NOX,CRIM,LSTAT,RAD,DIS,B,TAX,AGE
6.326,24.4,0.0,0.489,0.22969,10.97,4,4.3549,394.87,277,52.5
6.816,31.6,100.0,0.411,0.01432,3.95,5,8.3248,392.9,256,40.5
6.358,22.2,30.0,0.428,0.1029,11.22,6,7.0355,372.75,300,52.9
5.856,21.1,20.0,0.464,0.29916,13.0,3,4.429,388.65,223,42.1
6.103,13.4,0.0,0.614,7.05042,23.29,24,2.0218,2.52,666,85.1
5.961,21.7,0.0,0.413,0.15876,9.88,4,5.2873,376.94,305,17.5
6.301,14.9,0.0,0.713,7.75223,16.23,24,2.7831,272.21,666,83.7
7.489,50.0,0.0,0.605,1.46336,1.73,5,1.9709,374.43,403,90.8
5.759,19.9,0.0,0.655,3.1636,14.13,24,3.0665,334.4,666,48.2
6.54,16.5,0.0,0.518,0.02498,8.65,1,6.2669,389.96,422,59.7
6.389,23.9,0.0,0.449,0.05059,9.62,3,4.7794,396.9,247,48.0
6.728,30.1,90.0,0.41,0.01709,4.5,5,12.1265,384.46,187,36.1
6.674,21.0,0.0,0.538,1.00245,11.98,4,4.239,380.23,307,87.3
5.85,21.0,0.0,0.499,0.08014,8.77,5,3.9342,396.9,279,41.5
6.635,22.8,0.0,0.544,0.49298,4.54,4,3.3175,396.9,304,82.5
5.869,19.5,0.0,0.515,0.03427,9.8,5,5.2311,396.9,224,46.3
5.762,21.8,0.0,0.532,2.81838,10.42,24,4.0983,392.92,666,40.3
6.852,27.5,0.0,0.597,14.4383,19.78,24,1.4655,179.36,666,100.0
7.802,50.0,0.0,0.605,1.83377,1.92,5,2.0407,389.61,403,98.2
5.747,8.5,0.0,0.693,7.67202,19.92,24,1.6334,393.1,666,98.9
6.377,15.0,12.5,0.524,0.22489,20.45,5,6.3467,392.52,311,94.3
5.807,22.4,0.0,0.489,0.21719,16.03,4,3.6526,390.94,277,53.8
7.82,43.8,0.0,0.445,0.08187,3.57,2,3.4952,393.53,276,36.9
4.926,14.6,0.0,0.871,2.36862,29.53,5,1.4608,391.71,403,95.7
6.113,21.0,0.0,0.544,0.47547,12.73,4,4.0019,396.23,304,58.8
8.247,48.3,0.0,0.507,0.33147,3.95,8,3.6519,378.95,307,70.4
5.965,19.6,0.0,0.538,0.85204,13.83,4,4.0123,392.53,307,89.2
6.782,7.5,0.0,0.679,10.8342,25.79,24,1.8195,21.57,666,90.8
7.024,34.9,75.0,0.428,0.03359,1.98,3,5.4011,395.62,252,15.8
6.037,21.1,0.0,0.515,0.03961,8.01,5,5.9853,396.9,224,34.5
6.127,20.4,0.0,0.52,0.13117,14.09,5,2.1224,387.69,384,85.2
6.144,19.8,0.0,0.46,0.04544,9.09,4,5.8736,368.57,430,32.2
6.127,23.9,0.0,0.437,0.08265,8.58,4,5.5027,396.9,289,18.4
6.593,22.4,0.0,0.573,0.06263,9.67,1,2.4786,391.99,273,69.1
6.142,15.2,0.0,0.538,1.23247,18.72,4,3.9769,396.9,307,91.7
5.453,5.0,0.0,0.693,38.3518,30.59,24,1.4896,396.9,666,100.0
8.04,37.6,0.0,0.504,0.38214,3.13,8,3.2157,387.38,307,86.5
5.399,14.4,0.0,0.448,0.25387,30.81,3,5.87,396.9,233,95.3
6.696,23.9,55.0,0.484,0.02543,7.18,5,5.7321,396.9,370,56.4
4.368,8.8,0.0,0.7,20.0849,30.63,24,1.4395,285.83,666,91.2
6.03,16.6,0.0,0.448,0.22927,18.8,3,5.6894,392.74,233,85.5
6.398,25.0,0.0,0.77,4.54192,7.79,24,2.5182,374.56,666,88.0
7.274,34.6,80.0,0.404,0.03768,6.62,2,7.309,392.2,329,38.3
6.642,28.7,0.0,0.55,0.07013,9.69,5,3.4211,392.78,276,85.1
5.99,17.5,0.0,0.538,0.7842,14.67,4,4.2579,386.75,307,81.7
5.741,18.7,25.0,0.453,0.14932,13.15,8,7.2254,395.11,284,66.2
3.561,27.5,0.0,0.718,4.55587,7.12,24,1.6132,354.7,666,87.9
5.272,13.1,0.0,0.871,2.44668,16.14,5,1.7364,88.63,403,94.0
7.831,50.0,0.0,0.488,0.05602,4.45,3,3.1992,392.63,193,53.6
6.442,22.9,28.0,0.464,0.04203,8.16,4,3.6659,395.01,270,53.6
5.277,7.2,0.0,0.7,16.8118,30.81,24,1.4261,396.9,666,98.1
6.193,13.8,0.0,0.693,8.64476,15.17,24,1.7912,396.9,666,92.6
5.531,8.5,0.0,0.693,41.5292,27.38,24,1.6074,329.46,666,85.4
5.952,19.0,0.0,0.655,3.77498,17.15,24,2.8715,22.01,666,84.7
6.376,17.7,0.0,0.713,3.69311,14.65,24,2.5671,391.43,666,88.4
4.138,11.9,0.0,0.659,20.7162,23.34,24,1.1781,370.22,666,100.0
8.069,38.7,0.0,0.445,0.12083,4.21,2,3.4952,396.9,276,76.0
5.878,22.0,12.5,0.409,0.05789,8.1,4,6.498,396.21,345,21.4
6.565,24.8,52.5,0.405,0.04297,9.51,6,7.3172,371.72,293,22.9
5.414,7.0,0.0,0.609,0.18337,23.97,4,1.7554,344.05,711,98.3
5.608,27.9,0.0,0.659,11.9511,12.13,24,1.2852,332.09,666,100.0
5.876,20.9,80.0,0.392,0.03548,9.25,1,9.2203,395.18,315,19.1
5.404,19.6,0.0,0.871,1.49632,13.28,5,1.5916,341.6,403,100.0
6.279,20.0,0.0,0.437,0.10153,11.97,5,4.0522,373.66,398,74.5
6.108,21.9,80.0,0.392,0.04819,6.57,1,9.2203,392.89,315,32.0
6.326,19.6,0.0,0.624,1.19294,12.26,4,2.271,396.9,437,97.7
5.957,8.8,0.0,0.679,73.5341,20.62,24,1.8026,16.45,666,100.0
6.254,18.5,0.0,0.547,0.14231,10.45,6,2.2565,388.74,432,84.2
6.212,17.8,0.0,0.77,8.98296,17.6,24,2.1222,377.73,666,97.4
5.966,16.0,25.0,0.453,0.17171,14.44,8,6.8185,378.08,284,93.4
7.416,33.2,0.0,0.445,0.0686,6.19,2,3.4952,396.9,276,62.5
5.783,22.5,0.0,0.489,0.25199,18.06,4,4.3549,389.43,277,72.7
5.951,21.5,0.0,0.55,0.11069,17.92,5,2.8893,396.9,276,93.8
6.232,21.2,0.0,0.437,0.05646,12.34,5,5.0141,386.4,398,53.7
5.935,8.4,0.0,0.74,13.6781,34.02,24,1.8206,68.95,666,87.9
6.63,27.9,80.0,0.411,0.03615,4.7,4,5.1167,396.9,245,23.4
6.874,31.2,55.0,0.484,0.03049,4.61,5,6.4654,387.97,370,28.1
5.705,16.2,0.0,0.544,0.25356,11.5,4,3.945,396.42,304,77.7
5.914,17.8,0.0,0.544,0.31827,18.33,4,3.9986,390.7,304,83.2
7.236,36.1,33.0,0.472,0.05515,6.93,7,4.022,393.68,222,41.1
6.421,21.6,0.0,0.469,0.02731,9.14,2,4.9671,396.9,242,78.9
6.112,22.6,0.0,0.77,4.26131,12.67,24,2.5091,390.74,666,81.3
4.88,10.2,0.0,0.7,14.3337,30.62,24,1.5895,372.92,666,100.0
5.599,13.9,0.0,0.538,0.84054,16.51,4,4.4546,303.42,307,85.7
6.319,23.8,0.0,0.605,2.3004,11.1,5,2.1,297.09,403,96.1
5.593,17.6,22.0,0.431,0.20608,12.5,7,7.9549,372.49,330,76.5
5.986,21.4,0.0,0.581,0.16902,14.81,2,1.9929,385.02,188,88.4
5.565,11.7,0.0,0.584,8.79212,17.16,24,2.0635,3.65,666,70.6
6.405,18.6,0.0,0.52,0.22876,10.63,5,2.7147,70.8,384,85.4
6.086,24.0,0.0,0.507,0.33045,10.88,8,3.6519,376.75,307,61.5
5.727,18.2,0.0,0.538,0.7258,11.28,4,3.7965,390.95,307,69.5
8.704,50.0,20.0,0.647,0.61154,5.12,5,1.801,389.7,264,86.9
5.731,19.3,0.0,0.547,0.14476,13.61,6,2.7592,391.5,432,65.2
5.403,13.4,0.0,0.871,3.32105,26.82,5,1.3216,396.9,403,100.0
6.545,10.9,0.0,0.671,15.8744,21.08,24,1.5192,396.9,666,99.1
6.426,23.8,0.0,0.493,0.1676,7.2,5,4.5404,396.9,287,52.3
